	vote_legisnum	vote_rollnum	vote_nameid	vote_record
0	['H R 1']	['692']	['A000374', 'A000370', 'A000055', 'A000371', 'A000372', 'A000367', 'A000369', 'A000375', 'B001291', 'B001298', 'B001299', 'B001269', 'B001282', 'B001300', 'B000213', 'B001270', 'B001281', 'B001287', 'B001301', 'B001292', 'B001302', 'B001257', 'B000490', 'B001293', 'B001250', 'B001273', 'B001243', 'B001294', 'B000574', 'B001303', 'B001278', 'B001295', 'B001296', 'B001227', 'B000755', 'B001290', 'B001283', 'B001274', 'B001284', 'B001304', 'B001285', 'B001260', 'B001297', 'B001275', 'B001305', 'B001248', 'B001286', 'B001251', 'B001289', 'C000059', 'C001037', 'C001112', 'C001097', 'C001072', 'C001103', 'C001051', 'C001090', 'C001066', 'C001091', 'C000266', 'C001109', 'C001080', 'C001084', 'C001101', 'C001067', 'C001049', 'C001061', 'C000537', 'C001077', 'C001068', 'C001053', 'C001093', 'C001092', 'C001108', 'C001105', 'C001062', 'C001078', 'C001094', 'C000754', 'C001110', 'C001059', 'C001106', 'C001069', 'C001096', 'C001087', 'C001111', 'C001038', 'C001063', 'C001048', 'C000984', 'C001107', 'C001114', 'D000626', 'D000598', 'D000096', 'D000619', 'D000191', 'D000197', 'D000620', 'D000216', 'D000617', 'D000627', 'D000612', 'D000604', 'D000621', 'D000623', 'D000616', 'D000610', 'D000600', 'D000624', 'D000399', 'D000625', 'D000482', 'D000614', 'D000615', 'D000533', 'D000628', 'E000288', 'E000294', 'E000179', 'E000215', 'E000297', 'E000298', 'E000293', 'E000296', 'F000460', 'F000464', 'F000465', 'F000466', 'F000459', 'F000461', 'F000449', 'F000454', 'F000450', 'F000462', 'F000372', 'F000455', 'G000571', 'G000578', 'G000579', 'G000574', 'G000559', 'G000580', 'G000584', 'G000563', 'G000552', 'G000585', 'G000581', 'G000289', 'G000565', 'G000583', 'G000566', 'G000377', 'G000560', 'G000577', 'G000546', 'G000553', 'G000410', 'G000568', 'G000551', 'G000576', 'G000558', 'G000535', 'H001050', 'H001078', 'H001045', 'H001052', 'H001053', 'H000324', 'H001064', 'H001036', 'H001056', 'H001071', 'H001077', 'H001038', 'H001072', 'H001047', 'H001065', 'H001074', 'H000874', 'H001067', 'H001068', 'H001058', 'H001059', 'H001048', 'H001073', 'I000056', 'J000032', 'J000298', 'J000294', 'J000290', 'J000297', 'J000288', 'J000299', 'J000292', 'J000126', 'J000174', 'J000255', 'J000289', 'J000295', 'K000009', 'K000386', 'K000375', 'K000385', 'K000388', 'K000376', 'K000379', 'K000389', 'K000390', 'K000380', 'K000381', 'K000188', 'K000362', 'K000210', 'K000378', 'K000387', 'K000391', 'K000382', 'K000392', 'L000573', 'L000585', 'L000578', 'L000564', 'L000567', 'L000559', 'L000560', 'L000557', 'L000566', 'L000581', 'L000586', 'L000551', 'L000263', 'L000287', 'L000587', 'L000582', 'L000563', 'L000554', 'L000565', 'L000397', 'L000576', 'L000583', 'L000584', 'L000579', 'L000480', 'L000491', 'L000569', 'L000580', 'L000570', 'L000562', 'M001193', 'M000087', 'M001185', 'M001158', 'M001179', 'M001198', 'M001184', 'M001199', 'M001163', 'M001165', 'M001157', 'M001177', 'M001143', 'M001200', 'M000312', 'M001156', 'M001180', 'M001159', 'M001166', 'M001197', 'M001187', 'M001181', 'M001137', 'M001188', 'M001189', 'M001201', 'M001194', 'M001195', 'M001160', 'M001196', 'M001190', 'M001202', 'N000002', 'N000179', 'N000015', 'N000189', 'N000184', 'N000127', 'N000188', 'N000190', 'N000181', 'O000171', 'O000170', 'O000168', 'P000601', 'P000034', 'P000609', 'P000613', 'P000096', 'P000594', 'P000604', 'P000588', 'P000197', 'P000593', 'P000605', 'P000608', 'P000258', 'P000597', 'P000606', 'P000607', 'P000592', 'P000611', 'P000598', 'P000599', 'P000523', 'Q000023', 'R000606', 'R000601', 'R000585', 'R000578', 'R000586', 'R000602', 'R000597', 'R000588', 'R000591', 'R000582', 'R000575', 'R000395', 'R000409', 'R000592', 'R000607', 'R000583', 'R000435', 'R000608', 'R000580', 'R000593', 'R000598', 'R000603', 'R000486', 'R000487', 'R000599', 'R000576', 'R000515', 'R000604', 'R000609', 'R000577', 'R000570', 'S001156', 'S000051', 'S001168', 'S001176', 'S001145', 'S001150', 'S001190', 'S001180', 'S001183', 'S000185', 'S001189', 'S001157', 'S000244', 'S000248', 'S000250', 'S001185', 'S001170', 'S000344', 'S000364', 'S001154', 'S001148', 'S001191', 'S001165', 'S000480', 'S001195', 'S001172', 'S000522', 'S000583', 'S000510', 'S001199', 'S001200', 'S001175', 'S001196', 'S001192', 'S001187', 'S001201', 'S001193', 'T000472', 'T000477', 'T000478', 'T000460', 'T000193', 'T000467', 'T000238', 'T000462', 'T000470', 'T000468', 'T000469', 'T000474', 'T000475', 'T000465', 'T000463', 'U000031', 'V000129', 'V000130', 'V000131', 'V000132', 'V000081', 'V000108', 'W000812', 'W000798', 'W000791', 'W000819', 'W000813', 'W000820', 'W000799', 'W000797', 'W000187', 'W000822', 'W000814', 'W000806', 'W000800', 'W000815', 'W000821', 'W000816', 'W000808', 'W000795', 'W000804', 'W000809', 'W000810', 'Y000062', 'Y000063', 'Y000065', 'Y000033', 'Y000066', 'Z000017']	['Yea', 'Nay', 'Yea', 'Nay', 'Yea', 'Yea', 'Yea', 'Yea', 'Yea', 'Yea', 'Yea', 'Yea', 'Yea', 'Nay', 'Yea', 'Nay', 'Nay', 'Nay', 'Yea', 'Nay', 'Yea', 'Yea', 'Nay', 'Yea', 'Yea', 'Yea', 'Yea', 'Yea', 'Nay', 'Nay', 'Nay', 'Yea', 'Nay', 'Nay', 'Yea', 'Yea', 'Yea', 'Yea', 'Yea', 'Nay', 'Nay', 'Yea', 'Yea', 'Yea', 'Yea', 'Yea', 'Nay', 'Nay', 'Yea', 'Yea', 'Nay', 'Nay', 'Nay', 'Nay', 'Yea', 'Yea', 'Nay', 'Nay', 'Nay', 'Yea', 'Yea', 'Nay', 'Nay', 'Nay', 'Nay', 'Nay', 'Nay', 'Nay', 'Yea', 'Nay', 'Yea', 'Yea', 'Yea', 'Yea', 'Yea', 'Yea', 'Nay', 'Yea', 'Nay', 'Nay', 'Nay', 'Yea', 'Nay', 'Yea', 'Yea', 'Nay', 'Nay', 'Nay', 'Yea', 'Nay', 'Yea', 'Yea', 'Yea', 'Nay', 'Nay', 'Yea', 'Nay', 'Nay', 'Nay', 'Nay', 'Nay', 'Nay', 'Yea', 'Yea', 'Yea', 'Nay', 'Yea', 'Nay', 'Yea', 'Nay', 'Nay', 'Nay', 'Nay', 'Yea', 'Yea', 'Yea', 'Yea', 'Nay', 'Yea', 'Nay', 'Nay', 'Nay', 'Yea', 'Nay', 'Nay', 'Yea', 'Nay', 'Yea', 'Yea', 'Yea', 'Yea', 'Yea', 'Nay', 'Yea', 'Nay', 'Nay', 'Nay', 'Nay', 'Yea', 'Yea', 'Nay', 'Nay', 'Yea', 'Yea', 'Yea', 'Yea', 'Nay', 'Nay', 'Yea', 'Yea', 'Nay', 'Yea', 'Yea', 'Yea', 'Yea', 'Yea', 'Nay', 'Nay', 'Yea', 'Nay', 'Yea', 'Yea', 'Nay', 'Nay', 'Yea', 'Yea', 'Yea', 'Yea', 'Nay', 'Nay', 'Yea', 'Yea', 'Yea', 'Yea', 'Nay', 'Yea', 'Nay', 'Yea', 'Yea', 'Nay', 'Yea', 'Nay', 'Yea', 'Yea', 'Yea', 'Yea', 'Nay', 'Nay', 'Nay', 'Nay', 'Yea', 'Yea', 'Nay', 'Yea', 'Yea', 'Nay', 'Yea', 'Nay', 'Yea', 'Yea', 'Nay', 'Yea', 'Nay', 'Nay', 'Yea', 'Yea', 'Not Voting', 'Nay', 'Nay', 'Nay', 'Nay', 'Nay', 'Yea', 'Nay', 'Yea', 'Yea', 'Nay', 'Nay', 'Yea', 'Yea', 'Yea', 'Yea', 'Yea', 'Nay', 'Nay', 'Nay', 'Nay', 'Yea', 'Nay', 'Nay', 'Nay', 'Nay', 'Nay', 'Yea', 'Nay', 'Nay', 'Nay', 'Nay', 'Nay', 'Yea', 'Yea', 'Yea', 'Nay', 'Nay', 'Yea', 'Yea', 'Nay', 'Nay', 'Nay', 'Yea', 'Nay', 'Nay', 'Yea', 'Yea', 'Yea', 'Yea', 'Yea', 'Nay', 'Yea', 'Yea', 'Yea', 'Nay', 'Nay', 'Nay', 'Yea', 'Yea', 'Yea', 'Nay', 'Yea', 'Yea', 'Yea', 'Nay', 'Nay', 'Yea', 'Yea', 'Yea', 'Yea', 'Nay', 'Nay', 'Yea', 'Nay', 'Nay', 'Nay', 'Nay', 'Yea', 'Yea', 'Nay', 'Nay', 'Yea', 'Yea', 'Nay', 'Nay', 'Yea', 'Yea', 'Nay', 'Yea', 'Nay', 'Nay', 'Yea', 'Nay', 'Yea', 'Nay', 'Nay', 'Yea', 'Nay', 'Nay', 'Nay', 'Yea', 'Not Voting', 'Yea', 'Yea', 'Nay', 'Yea', 'Nay', 'Nay', 'Nay', 'Yea', 'Yea', 'Yea', 'Yea', 'Nay', 'Yea', 'Nay', 'Yea', 'Yea', 'Yea', 'Yea', 'Nay', 'Yea', 'Yea', 'Yea', 'Yea', 'Nay', 'Yea', 'Yea', 'Yea', 'Yea', 'Nay', 'Yea', 'Nay', 'Nay', 'Nay', 'Yea', 'Yea', 'Nay', 'Yea', 'Nay', 'Yea', 'Nay', 'Yea', 'Nay', 'Nay', 'Nay', 'Nay', 'Yea', 'Nay', 'Yea', 'Nay', 'Yea', 'Nay', 'Yea', 'Nay', 'Nay', 'Nay', 'Yea', 'Yea', 'Yea', 'Nay', 'Nay', 'Nay', 'Yea', 'Yea', 'Nay', 'Yea', 'Nay', 'Yea', 'Nay', 'Nay', 'Nay', 'Yea', 'Yea', 'Nay', 'Nay', 'Nay', 'Yea', 'Yea', 'Nay', 'Nay', 'Yea', 'Yea', 'Yea', 'Yea', 'Nay', 'Nay', 'Nay', 'Yea', 'Nay', 'Yea', 'Yea', 'Yea', 'Nay', 'Nay', 'Nay', 'Nay', 'Nay', 'Yea', 'Yea', 'Yea', 'Yea', 'Yea', 'Yea', 'Nay', 'Nay', 'Nay', 'Nay', 'Yea', 'Yea', 'Nay', 'Yea', 'Yea', 'Yea', 'Nay', 'Yea', 'Yea', 'Yea', 'Yea', 'Nay', 'Yea', 'Yea', 'Yea', 'Yea', 'Nay']
1	['H R 1']	['691']	['A000374', 'A000370', 'A000055', 'A000371', 'A000372', 'A000367', 'A000369', 'A000375', 'B001291', 'B001298', 'B001299', 'B001269', 'B001282', 'B001300', 'B000213', 'B001270', 'B001281', 'B001287', 'B001301', 'B001292', 'B001302', 'B001257', 'B000490', 'B001293', 'B001250', 'B001273', 'B001243', 'B001294', 'B000574', 'B001303', 'B001278', 'B001295', 'B001296', 'B001227', 'B000755', 'B001290', 'B001283', 'B001274', 'B001284', 'B001304', 'B001285', 'B001260', 'B001297', 'B001275', 'B001305', 'B001248', 'B001286', 'B001251', 'B001289', 'C000059', 'C001037', 'C001112', 'C001097', 'C001072', 'C001103', 'C001051', 'C001090', 'C001066', 'C001091', 'C000266', 'C001109', 'C001080', 'C001084', 'C001101', 'C001067', 'C001049', 'C001061', 'C000537', 'C001077', 'C001068', 'C001053', 'C001093', 'C001092', 'C001108', 'C001105', 'C001062', 'C001078', 'C001094', 'C000754', 'C001110', 'C001059', 'C001106', 'C001069', 'C001096', 'C001087', 'C001111', 'C001038', 'C001063', 'C001048', 'C000984', 'C001107', 'C001114', 'D000626', 'D000598', 'D000096', 'D000619', 'D000191', 'D000197', 'D000620', 'D000216', 'D000617', 'D000627', 'D000612', 'D000604', 'D000621', 'D000623', 'D000616', 'D000610', 'D000600', 'D000624', 'D000399', 'D000625', 'D000482', 'D000614', 'D000615', 'D000533', 'D000628', 'E000288', 'E000294', 'E000179', 'E000215', 'E000297', 'E000298', 'E000293', 'E000296', 'F000460', 'F000464', 'F000465', 'F000466', 'F000459', 'F000461', 'F000449', 'F000454', 'F000450', 'F000462', 'F000372', 'F000455', 'G000571', 'G000578', 'G000579', 'G000574', 'G000559', 'G000580', 'G000584', 'G000563', 'G000552', 'G000585', 'G000581', 'G000289', 'G000565', 'G000583', 'G000566', 'G000377', 'G000560', 'G000577', 'G000546', 'G000553', 'G000410', 'G000568', 'G000551', 'G000576', 'G000558', 'G000535', 'H001050', 'H001078', 'H001045', 'H001052', 'H001053', 'H000324', 'H001064', 'H001036', 'H001056', 'H001071', 'H001077', 'H001038', 'H001072', 'H001047', 'H001065', 'H001074', 'H000874', 'H001067', 'H001068', 'H001058', 'H001059', 'H001048', 'H001073', 'I000056', 'J000032', 'J000298', 'J000294', 'J000290', 'J000297', 'J000288', 'J000299', 'J000292', 'J000126', 'J000174', 'J000255', 'J000289', 'J000295', 'K000009', 'K000386', 'K000375', 'K000385', 'K000388', 'K000376', 'K000379', 'K000389', 'K000390', 'K000380', 'K000381', 'K000188', 'K000362', 'K000210', 'K000378', 'K000387', 'K000391', 'K000382', 'K000392', 'L000573', 'L000585', 'L000578', 'L000564', 'L000567', 'L000559', 'L000560', 'L000557', 'L000566', 'L000581', 'L000586', 'L000551', 'L000263', 'L000287', 'L000587', 'L000582', 'L000563', 'L000554', 'L000565', 'L000397', 'L000576', 'L000583', 'L000584', 'L000579', 'L000480', 'L000491', 'L000569', 'L000580', 'L000570', 'L000562', 'M001193', 'M000087', 'M001185', 'M001158', 'M001179', 'M001198', 'M001184', 'M001199', 'M001163', 'M001165', 'M001157', 'M001177', 'M001143', 'M001200', 'M000312', 'M001156', 'M001180', 'M001159', 'M001166', 'M001197', 'M001187', 'M001181', 'M001137', 'M001188', 'M001189', 'M001201', 'M001194', 'M001195', 'M001160', 'M001196', 'M001190', 'M001202', 'N000002', 'N000179', 'N000015', 'N000189', 'N000184', 'N000127', 'N000188', 'N000190', 'N000181', 'O000171', 'O000170', 'O000168', 'P000601', 'P000034', 'P000609', 'P000613', 'P000096', 'P000594', 'P000604', 'P000588', 'P000197', 'P000593', 'P000605', 'P000608', 'P000258', 'P000597', 'P000606', 'P000607', 'P000592', 'P000611', 'P000598', 'P000599', 'P000523', 'Q000023', 'R000606', 'R000601', 'R000585', 'R000578', 'R000586', 'R000602', 'R000597', 'R000588', 'R000591', 'R000582', 'R000575', 'R000395', 'R000409', 'R000592', 'R000607', 'R000583', 'R000435', 'R000608', 'R000580', 'R000593', 'R000598', 'R000603', 'R000486', 'R000487', 'R000599', 'R000576', 'R000515', 'R000604', 'R000609', 'R000577', 'S001156', 'S000051', 'S001168', 'S001176', 'S001145', 'S001150', 'S001190', 'S001180', 'S001183', 'S000185', 'S001189', 'S001157', 'S000244', 'S000248', 'S000250', 'S001185', 'S001170', 'S000344', 'S000364', 'S001154', 'S001148', 'S001191', 'S001165', 'S000480', 'S001195', 'S001172', 'S000522', 'S000583', 'S000510', 'S001199', 'S001200', 'S001175', 'S001196', 'S001192', 'S001187', 'S001201', 'S001193', 'T000472', 'T000477', 'T000478', 'T000460', 'T000193', 'T000467', 'T000238', 'T000462', 'T000470', 'T000468', 'T000469', 'T000474', 'T000475', 'T000465', 'T000463', 'U000031', 'V000129', 'V000130', 'V000131', 'V000132', 'V000081', 'V000108', 'W000812', 'W000798', 'W000791', 'W000819', 'W000813', 'W000820', 'W000799', 'W000797', 'W000187', 'W000822', 'W000814', 'W000806', 'W000800', 'W000815', 'W000821', 'W000816', 'W000808', 'W000795', 'W000804', 'W000809', 'W000810', 'Y000062', 'Y000063', 'Y000065', 'Y000033', 'Y000066', 'Z000017']	['Nay', 'Yea', 'Nay', 'Yea', 'Nay', 'Nay', 'Nay', 'Nay', 'Nay', 'Nay', 'Nay', 'Nay', 'Nay', 'Yea', 'Nay', 'Yea', 'Yea', 'Yea', 'Nay', 'Yea', 'Nay', 'Nay', 'Yea', 'Nay', 'Nay', 'Nay', 'Nay', 'Nay', 'Yea', 'Yea', 'Yea', 'Nay', 'Yea', 'Yea', 'Nay', 'Not Voting', 'Not Voting', 'Nay', 'Nay', 'Yea', 'Yea', 'Nay', 'Nay', 'Nay', 'Nay', 'Nay', 'Yea', 'Yea', 'Nay', 'Nay', 'Yea', 'Yea', 'Yea', 'Yea', 'Nay', 'Nay', 'Yea', 'Yea', 'Yea', 'Nay', 'Nay', 'Yea', 'Yea', 'Yea', 'Yea', 'Yea', 'Yea', 'Yea', 'Nay', 'Yea', 'Nay', 'Nay', 'Nay', 'Nay', 'Nay', 'Nay', 'Yea', 'Nay', 'Yea', 'Yea', 'Yea', 'Nay', 'Yea', 'Nay', 'Nay', 'Yea', 'Yea', 'Yea', 'Nay', 'Yea', 'Nay', 'Nay', 'Nay', 'Yea', 'Yea', 'Nay', 'Yea', 'Yea', 'Yea', 'Yea', 'Yea', 'Yea', 'Nay', 'Nay', 'Nay', 'Yea', 'Nay', 'Yea', 'Nay', 'Yea', 'Yea', 'Nay', 'Yea', 'Nay', 'Nay', 'Nay', 'Nay', 'Yea', 'Nay', 'Yea', 'Yea', 'Yea', 'Nay', 'Yea', 'Yea', 'Nay', 'Nay', 'Nay', 'Nay', 'Nay', 'Nay', 'Nay', 'Yea', 'Nay', 'Yea', 'Nay', 'Yea', 'Yea', 'Nay', 'Nay', 'Yea', 'Yea', 'Nay', 'Nay', 'Nay', 'Nay', 'Yea', 'Yea', 'Nay', 'Nay', 'Yea', 'Nay', 'Nay', 'Nay', 'Nay', 'Nay', 'Yea', 'Yea', 'Nay', 'Yea', 'Nay', 'Nay', 'Yea', 'Yea', 'Nay', 'Nay', 'Nay', 'Nay', 'Yea', 'Yea', 'Nay', 'Nay', 'Nay', 'Nay', 'Yea', 'Nay', 'Yea', 'Nay', 'Nay', 'Yea', 'Nay', 'Yea', 'Nay', 'Nay', 'Nay', 'Nay', 'Nay', 'Yea', 'Yea', 'Yea', 'Nay', 'Nay', 'Yea', 'Nay', 'Nay', 'Yea', 'Nay', 'Nay', 'Nay', 'Nay', 'Yea', 'Nay', 'Yea', 'Yea', 'Nay', 'Nay', 'Not Voting', 'Yea', 'Yea', 'Yea', 'Yea', 'Yea', 'Nay', 'Nay', 'Nay', 'Nay', 'Yea', 'Yea', 'Nay', 'Nay', 'Nay', 'Nay', 'Nay', 'Nay', 'Yea', 'Yea', 'Yea', 'Nay', 'Yea', 'Yea', 'Yea', 'Yea', 'Yea', 'Nay', 'Yea', 'Yea', 'Nay', 'Yea', 'Yea', 'Nay', 'Nay', 'Nay', 'Yea', 'Yea', 'Nay', 'Nay', 'Yea', 'Yea', 'Yea', 'Nay', 'Yea', 'Yea', 'Nay', 'Nay', 'Nay', 'Nay', 'Nay', 'Yea', 'Nay', 'Nay', 'Nay', 'Yea', 'Yea', 'Yea', 'Nay', 'Nay', 'Nay', 'Yea', 'Nay', 'Nay', 'Nay', 'Yea', 'Yea', 'Nay', 'Nay', 'Nay', 'Nay', 'Yea', 'Yea', 'Nay', 'Yea', 'Yea', 'Yea', 'Yea', 'Nay', 'Nay', 'Yea', 'Yea', 'Nay', 'Nay', 'Yea', 'Yea', 'Nay', 'Nay', 'Yea', 'Nay', 'Yea', 'Yea', 'Nay', 'Yea', 'Nay', 'Yea', 'Yea', 'Nay', 'Yea', 'Yea', 'Yea', 'Nay', 'Not Voting', 'Nay', 'Nay', 'Yea', 'Nay', 'Yea', 'Yea', 'Yea', 'Nay', 'Nay', 'Nay', 'Nay', 'Yea', 'Nay', 'Yea', 'Nay', 'Nay', 'Nay', 'Nay', 'Nay', 'Nay', 'Nay', 'Nay', 'Nay', 'Yea', 'Nay', 'Nay', 'Nay', 'Nay', 'Yea', 'Nay', 'Yea', 'Yea', 'Yea', 'Nay', 'Nay', 'Yea', 'Yea', 'Nay', 'Yea', 'Nay', 'Yea', 'Yea', 'Yea', 'Yea', 'Nay', 'Yea', 'Nay', 'Yea', 'Nay', 'Yea', 'Nay', 'Yea', 'Yea', 'Yea', 'Nay', 'Nay', 'Nay', 'Yea', 'Yea', 'Yea', 'Nay', 'Nay', 'Nay', 'Nay', 'Yea', 'Nay', 'Yea', 'Yea', 'Nay', 'Nay', 'Nay', 'Yea', 'Yea', 'Yea', 'Nay', 'Nay', 'Yea', 'Yea', 'Nay', 'Nay', 'Nay', 'Nay', 'Yea', 'Yea', 'Yea', 'Nay', 'Yea', 'Nay', 'Nay', 'Nay', 'Yea', 'Yea', 'Yea', 'Yea', 'Yea', 'Nay', 'Nay', 'Nay', 'Nay', 'Nay', 'Nay', 'Yea', 'Yea', 'Yea', 'Yea', 'Nay', 'Nay', 'Yea', 'Nay', 'Nay', 'Nay', 'Yea', 'Nay', 'Nay', 'Nay', 'Nay', 'Yea', 'Nay', 'Nay', 'Nay', 'Nay', 'Nay']
